Indice;Prompt_Original;PT_Referencia_Dataset;Resposta_Gerada
10;"Objective: Find the corresponding columns between Table A and Table B. Specify the related columns in Table B for each column listed in Table A. If a column in Table A has no corresponding match in Table B, you can represent it as None. Utilize pairs of column headers within a list structure, like [Table A Column, Table B Column or None], to illustrate each mapping. Present the mappings for all the columns in Table A and compile them into a list Return the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\nIn:\nTable A:\n|Funding|District|Website|Province Hamza bin sohail|No.|\n|---|---|---|---|---|\n|Public|Karachi|duhs.edu.pk|Sindh|21|\n|Public|Karachi|duhs.edu.pk|Sindh|20|\nTable B:\n|Official Website|Source of Funding|State|City|Year of Establishment|Institution Name|\n|---|---|---|---|---|---|\n|kmdc.edu.pk|Public|Sindh|Karachi|1991|UoK|\n|lumhs.edu.pk|Public|Sindh|Jamshoro|1951|LUMHS|\nReturn the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\nOut:";"{""column_mappings"": [[""Funding"", ""Source of Funding""], [""District"", ""City""], [""Website"", ""Official Website""], [""Province Hamza bin sohail"", ""State""], [""No."", ""None""]]}";"{""column_mappings"": [[""Funding"", ""Source of Funding""], [""District"", ""City""], [""Website"", ""Official Website""], [""Province Hamza bin sohail"", ""State""], [""No."", ""None""]]}"
11;"Instruction: I'd appreciate it if you could move the column ""Lizard lick Towing(Season 1)"" in the table to the leftmost position. Share the table after the move.\n[Q]:\n|Cast member|Lizard lick Towing(Season 1)|Lizard lick Towing(Season 2)|Lizard lick Towing(Season 3)|Lizard lick Towing(Season 4)|Lick Life(Season 1)|\n|---|---|---|---|---|---|\n|Johnny Reynolds|Recurring|Recurring|Recurring|Recurring|nan|\n|Grace|Recurring|Recurring|Recurring|Recurring|nan|\n|Cassie|Recurring|Recurring|Recurring|Recurring|nan|\n|Earl|nan|nan|nan|Recurring|nan|\n|Micky Visser|Guest|Guest|Guest|Guest|nan|\n[A]:\n|Lizard lick Towing(Season 1)|Cast member|Lizard lick Towing(Season 2)|Lizard lick Towing(Season 3)|Lizard lick Towing(Season 4)|Lick Life(Season 1)|\n|---|---|---|---|---|---|\n|Recurring|Johnny Reynolds|Recurring|Recurring|Recurring|nan|\n|Recurring|Grace|Recurring|Recurring|Recurring|nan|\n|Recurring|Cassie|Recurring|Recurring|Recurring|nan|\n|nan|Earl|nan|nan|Recurring|nan|\n|Guest|Micky Visser|Guest|Guest|Guest|nan|\n[Q]:\n|Cast member|Lizard lick Towing(Season 1)|Lizard lick Towing(Season 2)|Lizard lick Towing(Season 3)|Lizard lick Towing(Season 4)|Lick Life(Season 1)|\n|---|---|---|---|---|---|\n|Micky Visser|Guest|Guest|Guest|Guest|nan|\n|Earl|nan|nan|nan|Recurring|nan|\n|Cassie|Recurring|Recurring|Recurring|Recurring|nan|\n|Johnny Reynolds|Recurring|Recurring|Recurring|Recurring|nan|\n|Grace|Recurring|Recurring|Recurring|Recurring|nan|\n[A]:\n|Lizard lick Towing(Season 1)|Cast member|Lizard lick Towing(Season 2)|Lizard lick Towing(Season 3)|Lizard lick Towing(Season 4)|Lick Life(Season 1)|\n|---|---|---|---|---|---|\n|Guest|Micky Visser|Guest|Guest|Guest|nan|\n|nan|Earl|nan|nan|Recurring|nan|\n|Recurring|Cassie|Recurring|Recurring|Recurring|nan|\n|Recurring|Johnny Reynolds|Recurring|Recurring|Recurring|nan|\n|Recurring|Grace|Recurring|Recurring|Recurring|nan|\n[Q]:\n|Cast member|Lizard lick Towing(Season 1)|Lizard lick Towing(Season 2)|Lizard lick Towing(Season 3)|Lizard lick Towing(Season 4)|Lick Life(Season 1)|\n|---|---|---|---|---|---|\n|Ronnie Dishman|Main|Main|Main|Main|Main|\n|Amy Vaughn Shirley|Main|Main|Main|Main|Main|\n|Big Juicy|Recurring|Main|Main|Main|Main|\n|Bobby Brantley|Main|Main|Main|Main|nan|\n|Krazy Dave Eckler|Main|Main|Main|Main|nan|\n[A]:";"|Lizard lick Towing(Season 1)|Cast member|Lizard lick Towing(Season 2)|Lizard lick Towing(Season 3)|Lizard lick Towing(Season 4)|Lick Life(Season 1)|\n|---|---|---|---|---|---|\n|Main|Ronnie Dishman|Main|Main|Main|Main|\n|Main|Amy Vaughn Shirley|Main|Main|Main|Main|\n|Recurring|Big Juicy|Main|Main|Main|Main|\n|Main|Bobby Brantley|Main|Main|Main|nan|\n|Main|Krazy Dave Eckler|Main|Main|Main|nan|";"|Lizard lick Towing(Season 1)|Cast member|Lizard lick Towing(Season 2)|Lizard lick Towing(Season 3)|Lizard lick Towing(Season 4)|Lick Life(Season 1)|\n|---|---|---|---|---|---|\n|Main|Ronnie Dishman|Main|Main|Main|Main|\n|Main|Amy Vaughn Shirley|Main|Main|Main|Main|\n|Recurring|Big Juicy|Main|Main|Main|Main|\n|Main|Bobby Brantley|Main|Main|Main|nan|\n|Main|Krazy Dave Eckler|Main|Main|Main|nan|"
12;"Description: Kindly arrange the table by sorting it based on column ""Type"" in alphabetical ascending order. After the sorting, please provide the updated table.\n[Q]:\n|Year|Type|Work|First appeared in|\n|---|---|---|---|\n|1939|Novella|Komalathin Kobam|Kudi arasu|\n|1939|Novella|Kabothipura Kadhal|Kudi arasu|\n|1942|Novella|Kumasthavin penn or|Dravida Nadu';|\n|1942|Novella|Kalingarani|Dravida Nadu|\n|1943|Novella|Parvathi B.A|Dravida Nadu|\n[A]:";"|Year|Type|Work|First appeared in|\n|---|---|---|---|\n|1939|Novella|Komalathin Kobam|Kudi arasu|\n|1939|Novella|Kabothipura Kadhal|Kudi arasu|\n|1942|Novella|Kumasthavin penn or|Dravida Nadu';|\n|1942|Novella|Kalingarani|Dravida Nadu|\n|1943|Novella|Parvathi B.A|Dravida Nadu|";"|Year|Type|Work|First appeared in|\n|---|---|---|---|\n|1942|Novella|Kalingarani|Dravida Nadu|\n|1942|Novella|Kumasthavin penn or|Dravida Nadu';|\n|1939|Novella|Komalathin Kobam|Kudi arasu|\n|1939|Novella|Kabothipura Kadhal|Kudi arasu|\n|1943|Novella|Parvathi B.A|Dravida Nadu|\nAfter sorting by ""Type"" in alphabetical ascending order:\n1. Novella (Kalingarani, Kumasthavin penn or)\n2. Novella (Komalathin Kobam, Kabothipura Kadhal)\n3. Novella (Parvathi B.A)\nUpdated table (alphabetically sorted by ""Type""):\n|Year|Type|Work|First appeared in|\n|---|---|---|---|\n|1942|Novella|Kalingarani|Dravida Nadu|\n|1942|Novella|Kumasthavin penn or|Dravida Nadu';|\n|1939|Novella|Komalathin Kobam|Kudi arasu|\n|1939|Novella|Kabothipura Kadhal|Kudi arasu|\n|1943|Novella|Parvathi B.A|Dravida Nadu|"
13;"Instruction: Create a new additional column for the input table and append it to the right. Share the modified table, which includes the new column.\nQuestion:\n|Week #|Judges' score(Inaba)|Judges' score(Hough)|Judges' score(Tonioli)|\n|---|---|---|---|\n|1|8|7|7|\n|2|8 7|7 7|8 8|\n|3|8|81/9|8|\n|4|8|8|8|\n|52|8|7/73|7|\n|6|8|8/74|7|\n|7|9 9|8 10|8 9|\n|8|9 No|8 Given|8 Points|\n|9|8 8|8 8|8 8|\n|10 Semi-finals|10 No 9|10 Given 9|10 Points 9|\nAnswer:\n|Week #|Judges' score(Inaba)|Judges' score(Hough)|Judges' score(Tonioli)|Result|\n|---|---|---|---|---|\n|1|8|7|7|No Elimination|\n|2|8 7|7 7|8 8|Safe|\n|3|8|81/9|8|Safe|\n|4|8|8|8|Safe|\n|52|8|7/73|7|Safe|\n|6|8|8/74|7|Safe|\n|7|9 9|8 10|8 9|Safe|\n|8|9 No|8 Given|8 Points|Safe|\n|9|8 8|8 8|8 8|Safe|\n|10 Semi-finals|10 No 9|10 Given 9|10 Points 9|No Elimination|\nQuestion:\n|Date|Gasoline Price|\n|---|---|\n|2009-01-01 00:00:00.000|1.912|\n|2009-02-01 00:00:00.000|1.882|\n|2009-03-01 00:00:00.000|1.972|\n|2009-04-01 00:00:00.000|2.021|\n|2009-05-01 00:00:00.000|2.361|\n|2009-06-01 00:00:00.000|2.713|\n|2009-07-01 00:00:00.000|2.492|\n|2009-08-01 00:00:00.000|2.571|\n|2009-09-01 00:00:00.000|2.473|\n|2009-10-01 00:00:00.000|2.541|\nAnswer:\n|Date|Gasoline Price|State|\n|---|---|---|\n|2009-01-01 00:00:00.000|1.912|Ohio|\n|2009-02-01 00:00:00.000|1.882|Ohio|\n|2009-03-01 00:00:00.000|1.972|Ohio|\n|2009-04-01 00:00:00.000|2.021|Ohio|\n|2009-05-01 00:00:00.000|2.361|Ohio|\n|2009-06-01 00:00:00.000|2.713|Ohio|\n|2009-07-01 00:00:00.000|2.492|Ohio|\n|2009-08-01 00:00:00.000|2.571|Ohio|\n|2009-09-01 00:00:00.000|2.473|Ohio|\n|2009-10-01 00:00:00.000|2.541|Ohio|\nQuestion:\n|Year|Title|Peak positions(KOR)|\n|---|---|---|\n|2012|Into The Storm|49.0|\n|2012|My Love|80.0|\n|2012|Shut Up|87.0|\n|2012|Evening Sky|21.0|\n|2013|nan|nan|\n|2013|How Could You Do This To Me|21.0|\n|2013|Scandal|71.0|\n|2013|I'll Be Ok|94.0|\n|2013|Rainy Day|30.0|\n|2013|NoNoNo|20.0|\nAnswer:";"|Year|Title|Peak positions(KOR)|Album|\n|---|---|---|---|\n|2012|Into The Storm|49.0|Invitation|\n|2012|My Love|80.0|Invitation|\n|2012|Shut Up|87.0|Invitation|\n|2012|Evening Sky|21.0|Invitation|\n|2013|nan|nan|Invitation|\n|2013|How Could You Do This To Me|21.0|A's Doll House|\n|2013|Scandal|71.0|A's Doll House|\n|2013|I'll Be Ok|94.0|A's Doll House|\n|2013|Rainy Day|30.0|A's Doll House|\n|2013|NoNoNo|20.0|A's Doll House|";"|Year|Title|Peak positions(KOR)|Album|\n|---|---|---|---|\n|2012|Into The Storm|49.0|Born Pink|\n|2012|My Love|80.0|2gether|\n|2012|Shut Up|87.0|2gether|\n|2012|Evening Sky|21.0|2gether|\n|2013|nan|nan|2gether|\n|2013|How Could You Do This To Me|21.0|A'wesome|\n|2013|Scandal|71.0|A'wesome|\n|2013|I'll Be Ok|94.0|Singular|\n|2013|Rainy Day|30.0|Singular|\n|2013|NoNoNo|20.0|NoNoNo|"
14;"Description: I request an examination of the input table to identify any cell or cells with errors. Should multiple cells contain errors, compile them into a list. If no cells contain errors, reply with 'None'. Share only those cells for which you have a high level of confidence in their error status. Return the final result as JSON in the format {""erroneous_cells"": ""<a list of erroneous cells or None>""}.  Let's think step by step and show your reasoning before showing the final result.\n## Input:\n|Actor|Character|Rank|\n|---|---|---|\n|Michael A. Nickles|Paul Galvan|Private First Class|\n|Don Cheadle|David Washburn|Private First Class|\n|Tim Quill|Joseph Beletsky|Private First Class|\n|Michael Boatman|Ary Motown|Specialist Four|\n## Output:\nThe cell ""Ary Motown"" is misspelled and should be ""Ray Motown"". Therefore, the answer is {""erroneous_cells"": [""Ary Motown""]}\n## Input:\n|Actor|Character|Rank|\n|---|---|---|\n|Tegan West|Terry Eden|Second Lieutenant|\n|Steven Weber|Dennis Worcester|Sergeant First Class|\n|Dylan McDermott|Adam Frantz|Staff Sergeant|\n|Don James|Elliott McDaniel|Sergeant|\n|Courtney B. Vance|Abraham 'Doc' Johnson|Specialist Four|\nLet's think step by step and show your reasoning before showing the final result. Return the final result as JSON in the format {""erroneous_cells"": ""<a list of erroneous cells or None>""}.\n## Output:";"All cells in the table seem to be correct and no apparent error is found. Therefore, the final answer is {""erroneous_cells"": ""None""}";"All cells in the table seem to be correct and no apparent error is found. Therefore, the final answer is {""erroneous_cells"": ""None""}"
15;"Description: You are tasked with supplying the missing data in the input table, denoted by '[MISSING]'. Provide solely the value you inserted, not the whole table. Return the final result as JSON in the format {""value"": ""<value filled in>""}.\n[Q]:\n|Director|Opening|Genre|\n|---|---|---|\n|Nagathihalli Chandrashekar|18th|Satirical comedy|\n|Mohan Shankar|23rd|Action, Drama|\n|[MISSING]|6th|Action|\n|Baraguru Ramachandrappa|8th|Drama|\n|Mahesh Babu|2nd|Drama|\n[A]:\n{""value"": ""Sharan""}\n[Q]:\n|Director|Opening|Genre|\n|---|---|---|\n|Suresh Goswami|16th|Crime, Romance|\n|Raghavendra Kamath|18th|Drama|\n|Madhusudhan|23rd|Suspense thriller|\n|Duniya Soori|1st|Action|\n|[MISSING]|23rd|Action, Drama|\n[A]:\n{""value"": ""Mohan Shankar""}\n[Q]:\n|Director|Opening|Genre|\n|---|---|---|\n|Om Prakash Rao|10th|Action|\n|[MISSING]|27th|Action- Thriller|\n|Manoj Sathi|23rd|Family Drama|\n|Indrajith Lankesh|6th|Romance|\n|Kavita Lankesh|8th|Romance|\n[A]:\n{""value"": ""P. Vasu""}\n[Q]:\n|Director|Opening|Genre|\n|---|---|---|\n|Anil Kumar|6th|Action|\n|[MISSING]|6th|Drama|\n|G. K. Mudduraj|6th|Action|\n|Vijaya Prasad|13th|Drama|\n|R. Chandru|13th|Comedy, Drama|\nReturn the final result as JSON in the format {""value"": ""<value filled in>""}.\n[A]:";"{""value"": ""K. Sadashiva Shenoy""}";"{""value"": ""K. S. R. Manohar""}"
16;"Task: Generate a fresh row for the input table and add it at the end. Show the updated table with the newly created row.\n## Input:\n|Year|Name|Status|\n|---|---|---|\n|1939|Hattie McDaniel|Won|\n|1949|Ethel Waters|Nominated|\n|1959|Juanita Moore|Nominated|\n|1967|Beah Richards|Nominated|\n|1983|Alfre Woodard|Nominated|\n|1985|Margaret Avery|Nominated|\n|1985|Oprah Winfrey|Nominated|\n|1990|Whoopi Goldberg|Won|\n|1996|Marianne Jean-Baptiste|Nominated|\n## Output:\n|Year|Name|Status|\n|---|---|---|\n|1939|Hattie McDaniel|Won|\n|1949|Ethel Waters|Nominated|\n|1959|Juanita Moore|Nominated|\n|1967|Beah Richards|Nominated|\n|1983|Alfre Woodard|Nominated|\n|1985|Margaret Avery|Nominated|\n|1985|Oprah Winfrey|Nominated|\n|1990|Whoopi Goldberg|Won|\n|1996|Marianne Jean-Baptiste|Nominated|\n|2002|Queen Latifah|Nominated|\n## Input:\n|Intelligence Level|% Of Pop. Under Level|Point Value (15SD)|Point Value (16SD)|\n|---|---|---|---|\n|Idiot|~0.0000001%|<10|<4|\n|Profound Moron|~0.000001%|<16|<10|\n|Exceptional Moron|~0.00001%|<22|<17|\n|Moron|~0.0001%|<29|<24|\n|Extremely Retarded|~0.001%|<36|<32|\n|Highly Retarded|~0.01%|<44|<40|\n|Retarded|~0.1%|<54|<50|\n|Significantly Below Average|~1%|<65|<63|\n|Below Average|~10%|<81|<79|\n## Output:\n|Intelligence Level|% Of Pop. Under Level|Point Value (15SD)|Point Value (16SD)|\n|---|---|---|---|\n|Idiot|~0.0000001%|<10|<4|\n|Profound Moron|~0.000001%|<16|<10|\n|Exceptional Moron|~0.00001%|<22|<17|\n|Moron|~0.0001%|<29|<24|\n|Extremely Retarded|~0.001%|<36|<32|\n|Highly Retarded|~0.01%|<44|<40|\n|Retarded|~0.1%|<54|<50|\n|Significantly Below Average|~1%|<65|<63|\n|Below Average|~10%|<81|<79|\n|Average|~50%|~100|~100|\n## Input:\n|Nationality|From|To|P|W|L|D|Win %|\n|---|---|---|---|---|---|---|---|\n|England|May 1920|May 1925|219.0|83.0|85.0|51.0|38%|\n|England|May 1925|October 1930|235.0|108.0|78.0|49.0|46%|\n|England|February 1931|March 1935|187.0|73.0|72.0|42.0|39%|\n|England|March 1935|March 1937|94.0|41.0|37.0|16.0|44%|\n|England|April 1937|September 1939|92.0|35.0|40.0|17.0|38%|\n|England|August 1939|March 1949|131.0|45.0|53.0|33.0|34%|\n|England|March 1949|July 1954|254.0|108.0|87.0|59.0|43%|\n|England|July 1954|July 1959|241.0|103.0|99.0|39.0|43%|\n|Wales|July 1959|September 1967|375.0|159.0|129.0|87.0|42%|\n## Output:\n|Nationality|From|To|P|W|L|D|Win %|\n|---|---|---|---|---|---|---|---|\n|England|May 1920|May 1925|219.0|83.0|85.0|51.0|38%|\n|England|May 1925|October 1930|235.0|108.0|78.0|49.0|46%|\n|England|February 1931|March 1935|187.0|73.0|72.0|42.0|39%|\n|England|March 1935|March 1937|94.0|41.0|37.0|16.0|44%|\n|England|April 1937|September 1939|92.0|35.0|40.0|17.0|38%|\n|England|August 1939|March 1949|131.0|45.0|53.0|33.0|34%|\n|England|March 1949|July 1954|254.0|108.0|87.0|59.0|43%|\n|England|July 1954|July 1959|241.0|103.0|99.0|39.0|43%|\n|Wales|July 1959|September 1967|375.0|159.0|129.0|87.0|42%|\n|England|September 1967|May 1968|43.0|13.0|17.0|13.0|30%|\n## Input:\n|Proto-Basque|Modern Basque|English|\n|---|---|---|\n|*ardano|ardo|wine|\n|*arrani|arrain|fish|\n|*bene|mehe|thin, slim|\n|*bini|mihi|tongue|\n|*egu-gaitz|ekaitz|storm|\n|*eLana ~ *eNala|elai ~ enara|barn swallow|\n|*gaztana|gazta|cheese|\n|*ini|ihi|rush|\n|*organa|orga|cart|\n## Output:";"|Proto-Basque|Modern Basque|English|\n|---|---|---|\n|*ardano|ardo|wine|\n|*arrani|arrain|fish|\n|*bene|mehe|thin, slim|\n|*bini|mihi|tongue|\n|*egu-gaitz|ekaitz|storm|\n|*eLana ~ *eNala|elai ~ enara|barn swallow|\n|*gaztana|gazta|cheese|\n|*ini|ihi|rush|\n|*organa|orga|cart|\n|*sen-be|seme|son|";"|Proto-Basque|Modern Basque|English|\n|---|---|---|\n|*ardano|ardo|wine|\n|*arrani|arrain|fish|\n|*bene|mehe|thin, slim|\n|*bini|mihi|tongue|\n|*egu-gaitz|ekaitz|storm|\n|*eLana ~ *eNala|elai ~ enara|barn swallow|\n|*gaztana|gazta|cheese|\n|*ini|ihi|rush|\n|*organa|orga|cart|\n|*sorgin|sorgin|witch|"
17;"Task: Discover the columns in Table B that match with those in Table A. For each column present in Table A, specify the corresponding column present in Table B. If a column in Table A doesn't have a corresponding column in Table B, you can represent it as None. Use pairs of column headers in a list format, like [Table A Column, Table B Column or None], to express each mapping. List out the mappings for each column in Table A and compile them in a list Return the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\n[Q]:\nTable A:\n|Manager1|Team|Captain1|\n|---|---|---|\n|Hervé Della Maggiore|Bourg-Péronnas|Yannick Goyon|\n|Francis De Taddeo|Amiens|Thomas Mienniel|\nTable B:\n|Head Coach|Uniform Supplier|\n|---|---|\n|Denis Renaud|Duarig|\n|Stéphane Rossi|Erreà|\n|Georges Tournay|Uhlsport|\n[A]:\n{""column_mappings"": [[""Manager1"", ""Head Coach""], [""Team"", ""None""], [""Captain1"", ""None""]]}\n[Q]:\nTable A:\n|Round|Circuit|Winning Driver|Pole Position|Date|Winning Team|\n|---|---|---|---|---|---|\n|3|Circuit de Nevers Magny-Cours|Bruno Spengler|Julien Pressac|29 April|Graff Racing|\n|1|Autodromo Nazionale Monza|Augusto Farfus|Eric Salignon|30 March|RC Motorsport|\nTable B:\n|Champion Driver|Race Day|Fastest Lap Time|Champion Team|\n|---|---|---|---|\n|Augusto Farfus|5 May|Augusto Farfus|RC Motorsport|\n|Ronnie Quintarelli|18 May|Ronnie Quintarelli|Cram Competition|\n|Augusto Farfus|14 April|Ronnie Quintarelli|RC Motorsport|\nReturn the final result as JSON in the format {""column_mappings"": ""<a list of column pairs>""}.\n[A]:";"{""column_mappings"": [[""Round"", ""None""], [""Circuit"", ""None""], [""Winning Driver"", ""Champion Driver""], [""Pole Position"", ""None""], [""Date"", ""Race Day""], [""Winning Team"", ""Champion Team""]]}";"{""column_mappings"": [[""Round"", ""None""], [""Circuit"", ""None""], [""Winning Driver"", ""Champion Driver""], [""Pole Position"", ""None""], [""Date"", ""Race Day""], [""Winning Team"", ""Champion Team""]]}"
18;"Instruction: Please write the SQL query given the input table and question. Use 'table' as the table name if needed. Return the final result as JSON in the format {""SQL"": ""<SQL code>""}.\nInput:\n**Input table:**\n|Date|Venue|Score|Result|Competition|\n|---|---|---|---|---|\n|February 18, 2003|Estadio Rommel Fernández , Panama City , Panama|5–0|5–0|Continental qualifier|\n|February 23, 2003|Estadio Rommel Fernández , Panama City , Panama|2–0|2–1|Continental qualifier|\n|June 3, 2004|Estadio Cuscatlán , San Salvador , El Salvador|2–0|3–0|Friendly|\n|September 4, 2010|Lockhart Stadium , Fort Lauderdale , USA|2–0|5–0|Friendly|\n|October 12, 2012|Estadio Mateo Flores , Guatemala City , Guatemala|1–0|2–1|World Cup qualifier|\n**Question:**\nWhat was the score in the Continental Qualifier on February 23, 2003?\nOutput:\n{""SQL"": ""SELECT  `Score` FROM table WHERE `Competition` = continental qualifier AND `Date` = february 23, 2003""}\nInput:\n**Input table:**\n|Game|December|Opponent|Score|Location/Attendance|Record|Points|\n|---|---|---|---|---|---|---|\n|26|1|Boston Bruins|0 – 3|Wells Fargo Center (19,684)|15–7–4|34|\n|27|4|New Jersey Devils|5 – 3|Wells Fargo Center (19,657)|16–7–4|36|\n|28|5|@ New York Islanders|3 – 2|Nassau Veterans Memorial Coliseum (7,773)|17–7–4|38|\n|29|8|San Jose Sharks|4 – 5 (SO)|Wells Fargo Center (19,801)|17–7–5|39|\n|30|9|@ Toronto Maple Leafs|4 – 1|Air Canada Centre (19,365)|18–7–5|41|\n**Question:**\nWhat is the location and attendance total from the game on December 1?\nOutput:\n{""SQL"": ""SELECT  `Location/Attendance` FROM table WHERE `December` = 1""}\nInput:\n**Input table:**\n|Player|Nationality|Position|Years for Grizzlies|School/Club Team|\n|---|---|---|---|---|\n|Hakim Warrick|United States|Forward|2005-2009|Syracuse|\n|Earl Watson|United States|Point guard|2002-2005|UCLA|\n|Bonzi Wells|United States|Guard-Forward|2004-2005|Ball State|\n|Doug West|United States|Guard-Forward|1998-2001|Villanova|\n|DeJuan Wheat|United States|Point guard|1998-1999|Louisville|\n**Question:**\nWhat school/club did gerald wilkins attend?\nOutput:\n{""SQL"": ""SELECT  `School/Club Team` FROM table WHERE `Player` = gerald wilkins""}\nInput:\n**Input table:**\n|City of license|Identifier|Frequency|Power|Class|RECNet|\n|---|---|---|---|---|---|\n|Brockville|CBOB-FM|91.9 FM|1,080 s watt|A|Query|\n|Cornwall|CBOC-FM|95.5 FM|3,000 watts|A|Query|\n|Deep River|CBLI|1110 AM|40 watts|LP|Query|\n|Kingston|CBCK-FM|107.5 FM|100,000 watts|C1|Query|\n|Maniwaki, Quebec|CBOM|710 AM|40 watts|LP|Query|\n**Question:**\nWhat is the power that belongs to Class A with an Identifier of CBOC-FM?\nOutput:\n{""SQL"": ""SELECT  `Power` FROM table WHERE `Class` = a AND `Identifier` = cboc-fm""}\nInput:\n**Input table:**\n|Date|Result|Score|Venue|Competition|\n|---|---|---|---|---|\n|01-Jun-62|D|1–1|Tehran , Iran|Friendly|\n|03-Jun-62|L|1–2|Tehran , Iran|Friendly|\n|02-Oct-63|W|4–1|Tehran , Iran|1964 Olympic Games Qualifier|\n|01-Nov-63|L|0–1|Lahore , Pakistan|1964 Olympic Games Qualifier|\n|12-Dec-63|W|4–0|Tehran , Iran|1964 Olympic Games Qualifier|\n**Question:**\nResult of l, and a Competition of 1966 asian games, and a Score of 0–1 had what date?\nReturn the final result as JSON in the format {""SQL"": ""<SQL code>""}.\nOutput:";"{""SQL"": ""SELECT  `Date` FROM table WHERE `Result` = l AND `Competition` = 1966 asian games AND `Score` = 0\u20131""}";"{""SQL"": ""SELECT  `Date` FROM table WHERE `Result` = l AND `Competition` = 1966 asian games AND `Score` = 0\u20131""}"
19;"Objective: Develop an SQL query with the input table and question in mind. Don't forget to consider using 'table' as the table name if applicable. Return the final result as JSON in the format {""SQL"": ""<SQL code>""}.\nQ:\n**Input table:**\n|Year|Matches|Wins|Losses|No Result|Tied|Success Rate|\n|---|---|---|---|---|---|---|\n|2008|16|9|7|0|0|56.25%|\n|2009|15|8|6|1|0|53.33%|\n|2010|16|9|7|0|0|56.25%|\n|2011|16|11|5|0|0|68.75%|\n|2012|19|19|11|8|0|52.63%|\n**Question:**\nWhat is the average number of ties for years with more than 19 wins?\nReturn the final result as JSON in the format {""SQL"": ""<SQL code>""}.\nA:";"{""SQL"": ""SELECT AVG `Tied` FROM table WHERE `Wins` > 19""}";"{""SQL"": ""SELECT AVG `Tied` FROM table WHERE `Wins` > 19""}"
20;"Objective: You are accountable for providing the missing value in the input table, identified as '[MISSING]'. Share only the value you filled in, not the rest of the table. Return the final result as JSON in the format {""value"": ""<value filled in>""}.\nQ:\n|Year|Player|Nationality|Club|\n|---|---|---|---|\n|2004|Federico Gasperoni|San Marino|Urbino|\n|2011|Paolo Montagna|San Marino|[MISSING]|\n|2005|Marco Casadei|San Marino|Domagnano|\n|2006|Damiano Vannucci|San Marino|Libertas|\n|2008|Nicola Chiaruzzi|San Marino|La Fiorita|\nA:\n{""value"": ""Cosmos""}\nQ:\n|Year|Player|Nationality|Club|\n|---|---|---|---|\n|2015|Adolfo Hirsch|San Marino|[MISSING]|\n|2008|Nicola Chiaruzzi|San Marino|La Fiorita|\n|2007|Massimo Agostini|Italy|Murata|\n|2013|Aldo Simoncini|San Marino|Libertas|\n|2006|Damiano Vannucci|San Marino|Libertas|\nA:\n{""value"": ""Folgore Falciano""}\nQ:\n|Year|Player|Nationality|Club|\n|---|---|---|---|\n|1998|Simone Bianchi|San Marino|Folgore Falciano|\n|1999|Enea Zucchi|San Marino|Domagnano|\n|2000|Evert Zavoli|San Marino|Virtus|\n|2001|Alex Giaquinto|Italy|Tre Penne|\n|2002|Nicola Bacciocchi|San Marino|[MISSING]|\nReturn the final result as JSON in the format {""value"": ""<value filled in>""}.\nA:";"{""value"": ""Domagnano""}";"{""value"": ""Domagnano""}"
